hotspot_geometry,hotspot_tag,hotspot_location
POINT (-6.2917691 53.1747025),parking,
POINT (-6.3774094 53.3496891),fuel,Circle K Kennelsfort
POINT (-6.2632518 53.3399396),parking,Saint Stephen's Green Multi-Storey
POINT (-6.2678018 53.2883788),parking,
POINT (-6.2952484 53.2844302),fuel,Circle K Ballyboden
POINT (-6.2824997 53.3009473),parking,
POINT (-6.2786385 53.2968577),parking,
POINT (-6.2794463 53.291797),parking,
POINT (-6.2799072 53.2985351),parking,
POINT (-6.279358 53.2984789),parking,
POINT (-6.2788491 53.2983887),parking,
POINT (-6.2782493 53.2981741),parking,
POINT (-6.2780014 53.2976596),parking,
POINT (-6.2794943 53.2977521),parking,
POINT (-6.2797711 53.2979357),parking,
POINT (-6.279849 53.2931678),parking,
POINT (-6.2774683 53.2926052),parking,
POINT (-6.2736453 53.2809307),parking,
POINT (-6.2829683 53.2894987),fuel,Circle K Three Rock
POINT (-6.2685846 53.2935156),parking,
POINT (-6.2868796 53.2991366),parking,
POINT (-6.2737612 53.3116617),parking,
POINT (-6.2946029 53.331945),fuel,Maxol
POINT (-6.3149526 53.2899538),parking,
POINT (-6.3151674 53.2896616),parking,
POINT (-6.3302245 53.2614457),events_venue,Orlagh House
POINT (-6.3094794 53.3459441),parking,
POINT (-6.3437874 53.3279019),fuel,Circle K Westway
POINT (-6.3422656 53.1541392),parking,
POINT (-6.5433097 53.1637412),fuel,Texaco
POINT (-6.5430844 53.167051),parking,
POINT (-6.5310181 53.3484596),parking,
POINT (-6.5110101 53.3489233),parking,
POINT (-6.3080508 53.341304),fuel,Circle K Kilmainham
POINT (-6.2995917 53.3119003),fuel,Top
POINT (-6.2785665 53.3201278),fuel,Maxol
POINT (-6.2972177 53.3417938),fuel,Emo
POINT (-6.2703342 53.3423595),parking,Christ Church Car Park
POINT (-6.263172 53.342819),parking,Drury Street Car Park
POINT (-6.3774686 53.2828138),parking,
POINT (-6.5970689 53.2483993),fuel,Beaufort Service Station
POINT (-6.2658075 53.3260722),parking,Apartment Car Park
POINT (-6.2610113 53.3295054),parking,
POINT (-6.2910748 53.3200923),parking,
POINT (-6.5452228 53.3510361),fuel,Maxol
POINT (-6.5485511 53.3341495),fuel,Texaco
POINT (-6.2654387 53.3405156),college,Dublin Business School
POINT (-6.2681132 53.3209888),fuel,Circle K Grosvenor
POINT (-6.3557995 53.292248),parking,
POINT (-6.3093935 53.3090907),parking,
POINT (-6.3319604 53.2869576),parking,
POINT (-6.2767235 53.322786),parking,Harolds Cross Dog track
POINT (-6.3177022 53.3267701),parking,
POINT (-6.5773827 53.2027873),parking,
POINT (-6.6328213 53.1737068),parking,Public Parking for Dublin Gliding Club
POINT (-6.6326228 53.1740251),parking,Dubin Gliding Club Members Parking
