public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.3579922 53.3447285),police,Ballyfermot Garda Station,,,Dublin
POINT (-6.4226063 53.3478508),pharmacy,Foley's Pharmacy,,,
POINT (-6.4232431 53.3489508),social_facility,,Ballyowen Lane,Citizens Advice,Lucan
POINT (-6.3174086 53.2828608),post_office,Knocklyon Post Office,Idrone Avenue,An Post,
POINT (-6.3180625 53.282998),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.3408283 53.2809834),pharmacy,Dermot Moran Pharmacy,Firhouse Shopping Centre,,
POINT (-6.2987117 53.2907328),post_office,Ballyroan Post Office,Marian Road,An Post,Ballyroan
POINT (-6.3210776 53.282097),social_facility,The Rutland Centre,Knocklyon Road,,
POINT (-6.3307309 53.2714163),kindergarten,,Hunters Avenue,,Ballycullen
POINT (-6.3625102 53.2871722),bank,Permanent TSB,,Permanent TSB,
POINT (-6.3572917 53.2880599),bank,Bank of Ireland,,Bank of Ireland,
POINT (-6.3453704 53.2744435),childcare,Cocoon Childcare,Parklands Road,,
POINT (-6.5393857 53.338575),post_office,Celbridge Post Office,Main Street,An Post,Celbridge
POINT (-6.3078885 53.3398344),post_office,Kilmainham Post Office,South Circular Road,An Post,Dublin
POINT (-6.2852821 53.3089834),library,Terenure Library,Templeogue Road,,Dublin
POINT (-6.2984797 53.3360206),post_office,Rialto Post Office,South Circular Road,An Post,Dublin
POINT (-6.294597 53.3482146),post_office,Parkgate Street Post Office,Parkgate Street,An Post,Dublin
POINT (-6.3411186 53.2808563),post_office,Firhouse Post Office,Ballycullen Avenue,An Post,Firhouse
POINT (-6.2689369 53.3484294),bank,AIB,Capel Street,AIB,
POINT (-6.260702 53.3411091),bank,Permanent TSB,Grafton Street,Permanent TSB,Dublin
POINT (-6.340102 53.2815903),bank,Firhouse Credit Union,,,
POINT (-6.2660283 53.3378085),pharmacy,PURE Pharmacy,Redmonds Hill,,
POINT (-6.3205083 53.3395383),pharmacy,Inchicore Pharmacy,Emmet Road,,
POINT (-6.5445431 53.3436345),pharmacy,Walsh's Pharmacy,,,
POINT (-6.5396973 53.3386751),bank,AIB,,AIB,
POINT (-6.4601209 53.3535434),pharmacy,Unicare,,,
POINT (-6.2642733 53.3431046),pharmacy,Medipharm,George's Street Great South,,Dublin
POINT (-6.2641915 53.3431724),place_of_worship,Christian Science Reading Room,George's Street Great South,,Dublin
POINT (-6.2606035 53.3258814),doctors,Doctor Niall M. Joyce,Mountpleasant Avenue Upper,,Dublin
POINT (-6.2652897 53.3158038),pharmacy,Roches Pharmacy,Rathmines Road Upper,,
POINT (-6.373293 53.2884228),library,"County Library, Tallaght",Library Square,,
POINT (-6.4598191 53.3528725),pharmacy,,,,
POINT (-6.4621181 53.351982),post_office,Dodsboro Post Office,Dodsboro Road,An Post,Lucan
POINT (-6.2824743 53.310222),pharmacy,Life Pharmacy,Terenure Road East,Life Pharmacy,
POINT (-6.2746907 53.3117954),pharmacy,Rathgar Late Night Pharmacy,Terenure Road East,,Dublin
POINT (-6.2749647 53.3117673),bank,AIB,,AIB,
POINT (-6.572146 53.2066807),kindergarten,Funbugs Childcare,,,
POINT (-6.2789166 53.3198533),pharmacy,Hickey's Pharmacy,Harold's Cross Road,,
POINT (-6.2747431 53.3323216),pharmacy,Leonard's Corner Pharmacy,South Circular Road,,Dublin
POINT (-6.2758169 53.3429837),pharmacy,Reilly's Pharmacy,Cornmarket,,
POINT (-6.2667392 53.346748),place_of_worship,Destiny Christian Church,Great Strand Street,,Dublin
POINT (-6.2792464 53.346552),bank,Bank of Ireland,Arran Quay,Bank of Ireland,Dublin
POINT (-6.4324006 53.3409015),pharmacy,McCabes,,,
POINT (-6.452538 53.3478743),pharmacy,Doc Morris,,,
POINT (-6.4523924 53.347573),doctors,,,,
POINT (-6.3637476 53.2906432),library,Library,,,
POINT (-6.5137997 53.3533714),post_office,Mailroom,,An Post,
POINT (-6.5128603 53.3538395),doctors,Occupational Health,,,
POINT (-6.5136095 53.3534488),bank,Leixlip Credit Union Onsite,,,
POINT (-6.513015 53.3537826),bank,AIB,,AIB,
POINT (-6.50986 53.355244),bank,Bank of Ireland,,Bank of Ireland,
