rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
POINT (-6.3774029 53.3500748),pub,Silver Granite,,
POINT (-6.2605878 53.3305512),pub,The Barge Bar,Charlemont Mall,
POINT (-6.5186306 53.3181286),pub,Mc Evoys,,
POINT (-6.3937193 53.3521093),cinema,Vue Cinema Dublin,,
POINT (-6.4238869 53.3473896),pub,The Penny Hill,Castle Road,Lucan
POINT (-6.261924 53.345784),restaurant,La Gondola,,
POINT (-6.2611706 53.3457661),restaurant,Gogarty's,,
POINT (-6.2623304 53.3448128),nightclub,Club M,Cope Street,
POINT (-6.2610506 53.3456141),restaurant,Thunder Road Cafe,,
POINT (-6.2661101 53.3451815),cafe,The Joy of Chá,,
POINT (-6.2644065 53.3453528),cafe,,,
POINT (-6.2663248 53.3449489),arts_centre,Project Arts Centre,Essex Street East,Dublin
POINT (-6.2665279 53.3449227),theatre,The New Theatre,Essex Street East,Dublin
POINT (-6.2652379 53.330686),pub,The Lower Deck,,
POINT (-6.2609325 53.3472522),pub,Arlington Bar & Restaurant,Bachelors Walk,Dublin
POINT (-6.2733761 53.3389839),pub,Fallon’s,The Coombe,Dublin
POINT (-6.3318195 53.2867649),pub,Morton's,Firhouse Road,
POINT (-6.354174 53.2751247),pub,The Old Mill,Old Bawn Road,Tallaght
POINT (-6.3002428 53.2939748),restaurant,Chrysanthemum Chinese Restaurant,,
POINT (-6.2954161 53.2840791),pub,Bugler's Pub,Ballyboden Road,
POINT (-6.2637105 53.3478443),cafe,The Bagel Bar,Liffey Street Lower,
POINT (-6.2611853 53.3483245),cafe,Café Crema,,Dublin
POINT (-6.3449534 53.2750936),pub,Scholars,Parkland Road,
POINT (-6.2885248 53.3424988),pub,Harkin’s,Echlin Street,Dublin
POINT (-6.2832454 53.3100543),pub,Vaughan's Eagle House,Terenure Road North,
POINT (-6.2841368 53.3098046),pub,Brady's,Terenure Place,Dublin
POINT (-6.5182798 53.2692306),restaurant,Blackchurch Inn & Restaurant,,
POINT (-6.2695992 53.345976),pub,Sin É,Ormond Quay Upper,Dublin
POINT (-6.2635937 53.3431331),restaurant,Ukiyo Bar,Exchequer Street,
POINT (-6.2688365 53.3437335),cafe,Bittersweet Cafe,,
