DataProvider,OperatorInfo,UsageType,SubmissionStatus,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,DataProvidersReference,OperatorID,UsageTypeID,AddressInfo,Connections,DateLastStatusUpdate,MetadataValues,DataQualityLevel,DateCreated,SubmissionStatusTypeID,StatusType,OperatorsReference,UsageCost,NumberOfPoints,StatusTypeID,GeneralComments,UserComments,MediaItems
"{'WebsiteURL': 'http://chargepoints.dft.gov.uk', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 20, 'Title': 'Automated Import'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Contains public sector information licensed under the Open Government Licence v2.0.', 'DateLastImported': '2023-05-05T04:29:59.353Z', 'ID': 18, 'Title': 'UK National Charge Point Registry'}","{'WebsiteURL': 'https://ebcharging.co.uk/', 'Comments': 'owned by Blink Charging', 'PhonePrimaryContact': '+44 1727 807 263', 'IsPrivateIndividual': False, 'IsRestrictedEdit': False, 'ID': 3391, 'Title': 'EB Charging'}","{'IsPayAtLocation': True, 'IsMembershipRequired': False, 'IsAccessKeyRequired': False, 'ID': 5, 'Title': 'Public - Pay At Location'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",True,2023-05-04T08:52:00Z,214705,EE003D02-8575-420F-8797-C9B2D7D546C2,18,153a719109d5901f816d699f83ba381e,3391.0,5.0,"{'ID': 215085, 'Title': 'The Spire Car Park 1', 'AddressLine1': 'Marlborough Place, North City', 'Town': 'Dublin', 'Postcode': 'D01 W207', 'CountryID': 1, 'Country': {'ISOCode': 'GB', 'ContinentCode': 'EU', 'ID': 1, 'Title': 'United Kingdom'}, 'Latitude': 53.352036, 'Longitude': -6.258841, 'AccessComments': '', 'RelatedURL': 'https://ebcharging.co.uk/', 'Distance': 0.26654915044591393, 'DistanceUnit': 1}","[{'ID': 357365, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '1837-01-01', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}}]",2023-05-04T08:52:00Z,"[{'ID': 22531, 'MetadataFieldID': 4, 'ItemValue': 'Contains public sector information licensed under the Open Government Licence v2.0. http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/'}]",3,2023-02-09T08:13:00Z,100,,,,,,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'WebsiteURL': 'https://www.gocharge.ie/charge-with-us/', 'PhonePrimaryContact': '+353 1 254 6126', 'IsPrivateIndividual': False, 'IsRestrictedEdit': False, 'ID': 3402, 'Title': 'GoCharge (IE)'}","{'IsPayAtLocation': False, 'IsMembershipRequired': True, 'IsAccessKeyRequired': True, 'ID': 4, 'Title': 'Public - Membership Required'}","{'IsLive': True, 'ID': 200, 'Title': 'Submission Published'}",False,2020-08-08T15:24:00Z,127304,672CF633-6914-4CB9-9978-731411CF78B4,1,,3402.0,4.0,"{'ID': 127650, 'Title': 'Q-Park The Spire Multi-Storey Car Park', 'AddressLine1': 'Cathal Brugha Street', 'Town': 'Dublin 1', 'StateOrProvince': 'County Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.352022, 'Longitude': -6.258432, 'AccessComments': 'Located on ground floor of car park', 'RelatedURL': 'http://www.gocharge.ie', 'Distance': 0.2762412662204452, 'DistanceUnit': 1}","[{'ID': 178256, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2}]",2020-08-08T15:24:00Z,,1,2019-06-03T08:42:00Z,200,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",C8PJ7,€1 Connection Fee & €0.30 per kWh,2.0,50.0,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'WebsiteURL': 'http://www.teslamotors.com', 'IsPrivateIndividual': False, 'IsRestrictedEdit': False, 'ID': 23, 'Title': 'Tesla (Tesla-only charging)'}","{'IsPayAtLocation': False, 'IsMembershipRequired': False, 'IsAccessKeyRequired': False, 'ID': 7, 'Title': 'Public - Notice Required'}","{'IsLive': True, 'ID': 200, 'Title': 'Submission Published'}",False,2018-10-11T13:54:00Z,109200,94158280-CA4C-4187-BF49-E860D5C73A9E,1,,23.0,7.0,"{'ID': 109546, 'Title': 'Cassidys Hotel', 'AddressLine1': ""Cavendish Rowupper O'connell Street"", 'Town': 'City Centre', 'StateOrProvince': 'Dublin', 'Postcode': 'D01 V3P6', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.353102, 'Longitude': -6.261599, 'ContactTelephone1': '+353 1 87 80 555', 'Distance': 0.37646013133867245, 'DistanceUnit': 1}","[{'ID': 154318, 'ConnectionTypeID': 30, 'ConnectionType': {'IsDiscontinued': False, 'IsObsolete': False, 'ID': 30, 'Title': 'Tesla (Model S/X)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 2}]",2018-10-11T13:54:00Z,,1,2018-10-11T13:54:00Z,200,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",44550,,2.0,50.0,"2 Tesla Connectors, up to 6kW.Available by reservation only. Please see front desk.",,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'WebsiteURL': 'http://www.esb.ie/electric-cars/index.jsp', 'PhonePrimaryContact': ' 1890 372 387', 'IsPrivateIndividual': False, 'ContactEmail': 'ecars@esb.ie', 'FaultReportEmail': 'ecars@esb.ie', 'ID': 22, 'Title': 'ESB Ecars'}","{'IsPayAtLocation': False, 'IsMembershipRequired': True, 'IsAccessKeyRequired': True, 'ID': 4, 'Title': 'Public - Membership Required'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",False,2021-12-29T16:32:00Z,66609,CAD14D5B-7DED-4534-A10A-650354BD9C09,1,,22.0,4.0,"{'ID': 66955, 'Title': 'Parnell Square West', 'AddressLine1': 'Parnell Square West', 'Town': 'Dublin 1', 'StateOrProvince': 'County Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.353218, 'Longitude': -6.264812, 'Distance': 0.4830257797325525, 'DistanceUnit': 1}","[{'ID': 92032, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2}]",2021-12-29T16:32:00Z,,1,2016-05-23T16:08:00Z,100,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",C6WKW,,2.0,50.0,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'Comments': 'For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network', 'IsPrivateIndividual': False, 'ID': 45, 'Title': '(Business Owner at Location)'}","{'IsPayAtLocation': False, 'IsMembershipRequired': False, 'IsAccessKeyRequired': False, 'ID': 7, 'Title': 'Public - Notice Required'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",False,2017-02-09T22:09:00Z,15102,B531CB42-F2C5-4C9A-99AD-94F6D02DEE89,1,,45.0,7.0,"{'ID': 15448, 'Title': 'The Westin Dublin', 'AddressLine1': 'The Westin Dublin, Westmoreland Street, Dublin 2', 'Town': 'Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.345479, 'Longitude': -6.258945, 'Distance': 0.48948826762357917, 'DistanceUnit': 1}","[{'ID': 91504, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 16, 'Voltage': 230, 'PowerKW': 3.7, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 1}]",2017-02-09T22:09:00Z,,2,2012-12-11T15:08:00Z,100,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",The Westin Dublin,,1.0,50.0,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'WebsiteURL': 'http://www.esb.ie/electric-cars/index.jsp', 'PhonePrimaryContact': ' 1890 372 387', 'IsPrivateIndividual': False, 'ContactEmail': 'ecars@esb.ie', 'FaultReportEmail': 'ecars@esb.ie', 'ID': 22, 'Title': 'ESB Ecars'}","{'IsPayAtLocation': False, 'IsMembershipRequired': True, 'IsAccessKeyRequired': True, 'ID': 4, 'Title': 'Public - Membership Required'}","{'IsLive': True, 'ID': 200, 'Title': 'Submission Published'}",False,2019-06-17T05:33:00Z,66463,8ED64B09-B3A8-49CD-A6F1-E678DF0BDBAD,1,,22.0,4.0,"{'ID': 66809, 'Title': 'Mark Street', 'AddressLine1': 'Mark Street', 'Town': 'Dublin 2', 'StateOrProvince': 'County Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.3453, 'Longitude': -6.2513, 'Distance': 0.7801448933905819, 'DistanceUnit': 1}","[{'ID': 91843, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2}]",2019-06-17T05:33:00Z,,1,2016-05-20T14:00:00Z,200,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",C9XGC,,2.0,50.0,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'Comments': 'For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network', 'IsPrivateIndividual': False, 'ID': 45, 'Title': '(Business Owner at Location)'}","{'IsPayAtLocation': False, 'IsMembershipRequired': False, 'IsAccessKeyRequired': False, 'ID': 7, 'Title': 'Public - Notice Required'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",False,2016-06-01T11:33:00Z,15176,0A38E211-7050-44D8-AE5A-B952EFAB66D4,1,,45.0,7.0,"{'ID': 15522, 'Title': 'Dublin International Hostel', 'AddressLine1': 'Dublin International Hostel, 61 Mountjoy Street, Dublin 7', 'Town': 'Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.355982, 'Longitude': -6.268258, 'Distance': 0.8660453255130524, 'DistanceUnit': 1}","[{'ID': 91282, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 16, 'Voltage': 230, 'PowerKW': 3.7, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 1}]",2016-06-01T11:33:00Z,,2,2012-12-19T04:50:00Z,100,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",Dublin International Hostel,,1.0,50.0,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'WebsiteURL': 'http://www.esb.ie/electric-cars/index.jsp', 'PhonePrimaryContact': ' 1890 372 387', 'IsPrivateIndividual': False, 'ContactEmail': 'ecars@esb.ie', 'FaultReportEmail': 'ecars@esb.ie', 'ID': 22, 'Title': 'ESB Ecars'}","{'IsPayAtLocation': False, 'IsMembershipRequired': True, 'IsAccessKeyRequired': True, 'ID': 4, 'Title': 'Public - Membership Required'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",False,2019-06-21T05:42:00Z,66470,E4A4BC55-F5F4-4271-9AE3-B908D8593C7E,1,,22.0,4.0,"{'ID': 66816, 'Title': 'Greek Street', 'AddressLine1': 'Greek Street', 'Town': 'Dublin 1', 'StateOrProvince': 'County Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.347479, 'Longitude': -6.273155, 'Distance': 0.8909805278061288, 'DistanceUnit': 1}","[{'ID': 91850, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2}]",2019-06-21T05:42:00Z,,1,2016-05-20T14:39:00Z,100,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",C4HY8,,2.0,50.0,,,
"{'WebsiteURL': 'http://openchargemap.org', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 1, 'Title': 'Manual Data Entry'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)', 'ID': 1, 'Title': 'Open Charge Map Contributors'}","{'Comments': 'For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network', 'IsPrivateIndividual': False, 'ID': 45, 'Title': '(Business Owner at Location)'}","{'IsPayAtLocation': False, 'IsMembershipRequired': False, 'IsAccessKeyRequired': False, 'ID': 7, 'Title': 'Public - Notice Required'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",False,2016-05-23T14:12:00Z,15096,178E6677-8438-46B5-A0E3-7D01B9C9108C,1,,45.0,7.0,"{'ID': 15442, 'Title': 'Jurys Inn Custom House', 'AddressLine1': 'Jurys Inn Custom House, Custom House Quay, Dublin 1', 'Town': 'Dublin', 'CountryID': 3, 'Country': {'ISOCode': 'IE', 'ContinentCode': 'EU', 'ID': 3, 'Title': 'Ireland'}, 'Latitude': 53.348105, 'Longitude': -6.246779, 'Distance': 0.9178200125226016, 'DistanceUnit': 1}","[{'ID': 91956, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 16, 'Voltage': 230, 'PowerKW': 3.7, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 1}]",2016-05-23T14:12:00Z,,2,2012-12-11T15:08:00Z,100,"{'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}",Jurys Inn Custom House,,1.0,50.0,,,
"{'WebsiteURL': 'http://chargepoints.dft.gov.uk', 'DataProviderStatusType': {'IsProviderEnabled': True, 'ID': 20, 'Title': 'Automated Import'}, 'IsRestrictedEdit': False, 'IsOpenDataLicensed': True, 'IsApprovedImport': True, 'License': 'Contains public sector information licensed under the Open Government Licence v2.0.', 'DateLastImported': '2023-05-05T04:29:59.353Z', 'ID': 18, 'Title': 'UK National Charge Point Registry'}","{'WebsiteURL': 'https://ebcharging.co.uk/', 'Comments': 'owned by Blink Charging', 'PhonePrimaryContact': '+44 1727 807 263', 'IsPrivateIndividual': False, 'IsRestrictedEdit': False, 'ID': 3391, 'Title': 'EB Charging'}","{'IsPayAtLocation': True, 'IsMembershipRequired': False, 'IsAccessKeyRequired': False, 'ID': 5, 'Title': 'Public - Pay At Location'}","{'IsLive': True, 'ID': 100, 'Title': 'Imported and Published'}",True,2023-05-04T08:52:00Z,214702,ADA05ED0-8B40-4D22-922A-400D4D30DB05,18,278edec013b8be78219baec3ed5a8507,3391.0,5.0,"{'ID': 215082, 'Title': 'Setanta Car Park 3', 'AddressLine1': 'Setanta Place', 'Town': 'Dublin', 'Postcode': 'D02 V968', 'CountryID': 1, 'Country': {'ISOCode': 'GB', 'ContinentCode': 'EU', 'ID': 1, 'Title': 'United Kingdom'}, 'Latitude': 53.342009, 'Longitude': -6.255356, 'AccessComments': '', 'RelatedURL': 'https://ebcharging.co.uk/', 'Distance': 0.9271559113461804, 'DistanceUnit': 1}","[{'ID': 357362, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '1839-04-01', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}}]",2023-05-04T08:52:00Z,"[{'ID': 22528, 'MetadataFieldID': 4, 'ItemValue': 'Contains public sector information licensed under the Open Government Licence v2.0. http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/'}]",3,2023-02-09T08:13:00Z,100,,,,,,,,
