motorcar,geometry,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,name,operator,addr:housename,opening_hours,operator:wikidata,operator:wikipedia,phone,website,access,fee,parking,addr:city,addr:postal_district,capacity,layer,addr:country,addr:housenumber,payment:account_cards,ref,note,source,covered,level,location,description,payment:contactless,short_name,highway,socket:type2,socket:type2:output,maxstay,socket:chademo,socket:chademo:output,amperage,voltage,socket:type2_combo,socket:type2_combo:output,office,authentication:app,authentication:contactless,charging_station:capacity,authentication:none,charge,socket:combo,socket:combo:output,parking:fee,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,manufacturer,authentication:nfc,charging_station:output,nodes
,POINT (-6.2555737 53.3322769),Adelaide Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,Dublin,,2,,,,,C8RZY,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1657318 53.2834921),,charging_station,,,,Nissan Fast Charge Point,Windsor Deansgrange,,,,,,,,no,,,,1,,,,,,,,,,,,,,,,,,1,50kW,,,,,,,,,,,,,,,,,,,
,POINT (-6.37003 53.2943233),,charging_station,,,,Nissan Fast Charger,Windsor Belgard,,,,,,,customers,no,,,,1,,,,,,,,,,,,,,,,,,1,50kW,120,400,,,,,,,,,,,,,,,,,
,POINT (-6.394243 53.314832),,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,,,2,,,,,C5L9W,,,,,,,,,,1,43kW,,1,50kW,,,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.3919694 53.3773496),,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C8Z6D,,,,,,,,,,2,22kW,,,,16,220,,,,,,,,,,,,,,,,,
,POINT (-6.1996383 53.2902309),Old Dublin Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,Stillorgan Village Shopping Centre,,Q3050566,en:ESB Group,+353 1 258 3799,,,yes,,Stillorgan,,2,,,,,C7LE0,,https://www.esb.ie/electric-cars/electric-car-charging/electric-car-charge-point-map.jsp,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.1975575 53.4928349),Turvey Roundabout,charging_station,,,,ESB Electric Vehicle Fast Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,Donabate,,2,,,,,CBCSH,,,,,,,,,,1,43kW,,1,50kW,,400,1,50kW,,,,,,,,,,,,,,,
,POINT (-6.5070151 53.3693226),Leixlip Louisa Bridge Park & Ride,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,yes,yes,,Leixlip,,2,,,,,C8AXY,,,,,,,,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,
,POINT (-6.2761714 53.369002),Finglas Road,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,,,2,,,,,C76VM,,,,,,,,,,2,22kW,,,,16,220,,,,,,,,,,,,,,,,,
,POINT (-6.2513165 53.3451138),Mark Street,charging_station,,,,ESB Electric Vehicle Charge Point,ESB ecars,,,Q3050566,en:ESB Group,,,,yes,,Dublin,,2,,,,,C73U1,,,,,,,,,,2,22kW,,,,,,,,,,,,,,,,,,,,,,
