,,,,,,A,B
barrier,,,fuel,,,parking_space,6893
bicycle,,,parking_entrance,,,parking,6104
foot,,,library,,,waste_basket,2026
horse,,,theatre,,,bench,1976
motorcar,,,fuel,,,bicycle_parking,1430
motorcycle,,,parking,,,restaurant,1036
geometry,,,restaurant,,,cafe,985
addr:street,,,telephone,,,fast_food,917
amenity,,,recycling,,,post_box,860
brand,,,post_office,,,pub,727
brand:wikidata,,,post_box,,,school,649
brand:wikipedia,,,atm,,,parking_entrance,505
name,,,parking,,,pharmacy,423
operator,,,fuel,,,vending_machine,420
created_by,,,fuel,,,place_of_worship,413
addr:housename,,,fuel,,,recycling,310
addr:postcode,,,post_box,,,atm,282
email,,,recycling,,,shelter,274
opening_hours,,,parking,,,bank,258
operator:type,,,parking,,,community_centre,245
operator:wikidata,,,pub,,,doctors,234
operator:wikipedia,,,restaurant,,,toilets,218
phone,,,pub,,,fuel,207
website,,,post_box,,,dentist,187
wheelchair,,,vending_machine,,,nameplate,175
toilets:wheelchair,,,vending_machine,,,charging_station,171
old_brand,,,vending_machine,,,kindergarten,168
old_brand2,,,vending_machine,,,social_facility,166
access,,,vending_machine,,,bar,142
fee,,,vending_machine,,,post_office,140
parking,,,post_box,,,clinic,134
cuisine,,,vending_machine,,,grave_yard,124
recycling:glass,,,post_box,,,car_wash,121
recycling_type,,,vending_machine,,,bicycle_rental,117
addr:city,,,vending_machine,,,fountain,111
addr:postal_district,,,vending_machine,,,childcare,102
man_made,,,vending_machine,,,telephone,94
surveillance,,,vending_machine,,,college,88
surveillance:type,,,vending_machine,,,library,85
fixme,,,vending_machine,,,taxi,82
atm,,,pub,,,clock,73
car_wash,,,post_office,,,loading_dock,67
drive_through,,,pub,,,hospital,65
capacity,,,fuel,,,police,55
layer,,,fuel,,,veterinary,52
conscious_cup,,,fuel,,,post_depot,48
addr:country,,,fuel,,,waste_disposal,47
addr:county,,,pub,,,car_rental,45
addr:housenumber,,,pub,,,university,43
post_box:type,,,pub,,,drinking_water,42
royal_cypher,,,fuel,,,theatre,39
royal_cypher:wikidata,,,post_box,,,nursing_home,35
currency:EUR,,,post_box,,,parcel_locker,34
payment:account_cards,,,pub,,,ice_cream,33
payment:coins,,,post_box,,,compressed_air,32
vending,,,post_box,,,grit_bin,29
check_date,,,pub,,,arts_centre,25
collection_times,,,parking,,,internet_cafe,24
ref,,,post_depot,,,cinema,21
contact:facebook,,,fast_food,,,weighbridge,21
contact:instagram,,,pub,,,marketplace,20
food,,,pub,,,fire_station,20
live_music,,,pub,,,studio,19
wheelchair:description:de,,,parking,,,music_school,19
fuel:diesel,,,post_office,,,language_school,19
fuel:gasoline,,,post_box,,,bus_station,19
note,,,post_box,,,casino,18
self_service,,,parking_entrance,,,car_sharing,17
fuel:adblue,,,parking,,,courthouse,17
fuel:briquette,,,pharmacy,,,nightclub,14
fuel:coal,,,post_box,,,ferry_terminal,14
fuel:octane_95,,,fuel,,,vacuum_cleaner,14
name:en,,,post_box,,,trolley_bay,13
accommodation,,,post_box,,,biergarten,13
source,,,post_box,,,monastery,12
diet:vegetarian,,,post_office,,,bicycle_repair_station,9
name:ga,,,post_box,,,prison,9
takeaway,,,post_box,,,driving_school,7
wheelchair:description,,,post_box,,,public_bookcase,7
colour,,,parking_entrance,,,animal_boarding,6
covered,,,pub,,,photo_booth,6
indoor,,,parking,,,dojo,6
material,,,parking,,,vehicle_inspection,6
support,,,parking,,,shower,6
park_ride,,,parking,,,townhall,6
dispensing,,,atm,,,events_venue,5
healthcare,,,parking,,,bbq,5
brand:website,,,parking,,,conference_centre,5
type,,,parking,,,animal_shelter,5
moved,,,parking,,,food_court,5
addr:unit,,,parking,,,payment_terminal,5
level,,,parking,,,court_yard,5
direction,,,parking,,,smoking_area,4
surface,,,vending_machine,,,bureau_de_change,4
indoor_seating,,,police,,,table,4
outdoor_seating,,,post_box,,,waste_transfer_station,4
smoking,,,nursing_home,,,research_institute,3
maxheight,,,parking,,,training,3
maxheight:physical,,,parking,,,funeral_hall,3
check_date:collection_times,,,pub,,,watering_place,3
fax,,,post_box,,,piano,3
social_facility,,,parking_entrance,,,fixme,3
social_facility:for,,,parking_entrance,,,clubhouse,3
noexit,,,parking,,,social_centre,3
branch,,,parking,,,ticket_validator,2
compressed_air,,,fuel,,,coworking_space,2
booth,,,fuel,,,boat_rental,2
mapillary,,,fuel,,,water_point,2
survey:date,,,post_box,,,gambling,2
brewery,,,telephone,,,boat_storage,2
internet_access,,,pub,,,yacht_club,2
official_name,,,pub,,,mortuary,2
network,,,waste_basket,,,presbytery,2
contact:twitter,,,pharmacy,,,coast_guard,1
capacity:disabled,,,post_box,,,box_office,1
capacity:parent,,,post_box,,,internet_access,1
wikidata,,,post_box,,,stripclub,1
cash_in,,,post_box,,,yes,1
old_name,,,parking,,,soft_play,1
delivery,,,fuel,,,left_luggage,1
denomination,,,parking_entrance,,,money_transfer,1
religion,,,parking,,,hunting_stand,1
bicycle_parking,,,parking,,,payment_centre,1
lit,,,parking,,,animal_breeding,1
payment:cash,,,parking,,,pastoral,1
artist_name,,,parking,,,dive_centre,1
artwork_type,,,parking,,,ski_school,1
tourism,,,parking,,,ski_rental,1
check_date:opening_hours,,,parking,,,motorcycle_parking,1
opening_hours:signed,,,parking,,,reception_desk,1
website:menu,,,parking,,,weighing_machine,1
diet:vegan,,,parking,,,sculpture,1
alt_name,,,parking,,,baking_oven,1
internet_access:fee,,,toilets,,,exhibition_centre,1
alt_name_1,,,parking,,,scout_hut,1
recycling:clothes,,,bank,,,public,1
recycling:cans,,,atm,,,priory,1
recycling:glass_bottles,,,parking,,,bus_garage,1
collection_times:signed,,,parking,,,crematorium,1
alt_name:en,,,taxi,,,dressing_room,1
contact:webform,,,fast_food,,,private,1
contact:linkedin,,,parking,,,pavilion,1
payment:credit_cards,,,atm,,,pub;restaurant,1
payment:debit_cards,,,cinema,,,first_aid,1
motor_vehicle,,,pharmacy,,,health_post,1
operator:website,,,atm,,,wheelwash,1
ref:signed,,,atm,,,driver_training,1
entrance,,,fuel,,,stadium,1
seamark:type,,,parking,,,,
cocktails,,,parking,,,,
contact:phone,,,parking,,,,
payment:mastercard,,,atm,,,,
payment:visa,,,atm,,,,
location,,,atm,,,,
recycling:shoes,,,parking,,,,
description,,,parking_entrance,,,,
addr:suburb,,,parking,,,,
opening_hours:covid19,,,parking_entrance,,,,
historic,,,parking,,,,
natural,,,theatre,,,,
place_of_worship,,,pub,,,,
addr:town,,,parking,,,,
fuel:petrol,,,atm,,,,
url,,,atm,,,,
recycling:batteries,,,atm,,,,
recycling:paper,,,post_box,,,,
recycling:scrap_metal,,,fuel,,,,
disused,,,restaurant,,,,
fuel:peat,,,atm,,,,
fuel:wood,,,post_box,,,,
shelter_type,,,fuel,,,,
name:fa,,,parking_entrance,,,,
operator:ga,,,post_box,,,,
display,,,pub,,,,
is_in,,,fast_food,,,,
payment:contactless,,,fast_food,,,,
payment:credit_card,,,social_facility,,,,
addr:floor,,,post_box,,,,
air_conditioning,,,waste_basket,,,,
recycling:aluminium,,,place_of_worship,,,,
payment:telephone_cards,,,post_box,,,,
bicycle_rental,,,parking,,,,
network:wikidata,,,post_box,,,,
network:wikipedia,,,bank,,,,
shop,,,atm,,,,
female,,,community_centre,,,,
male,,,pub,,,,
operator:short,,,post_box,,,,
name_1,,,post_box,,,,
shelter,,,post_box,,,,
opening_hours:url,,,bicycle_parking,,,,
old_name2,,,bicycle_parking,,,,
short_name,,,post_box,,,,
recycling:cardboard,,,bank,,,,
recycling:electrical_appliances,,,post_office,,,,
recycling:newspaper,,,toilets,,,,
recycling:paper_packaging,,,pharmacy,,,,
recycling:plastic,,,fuel,,,,
recycling:plastic_bottles,,,fuel,,,,
recycling:plastic_packaging,,,fountain,,,,
recycling:small_appliances,,,fountain,,,,
addr:place,,,fountain,,,,
backrest,,,restaurant,,,,
highway,,,restaurant,,,,
tactile_paving,,,nightclub,,,,
contact:email,,,restaurant,,,,
contact:website,,,cafe,,,,
studio,,,cafe,,,,
recycling:cooking_oil,,,arts_centre,,,,
recycling:engine_oil,,,theatre,,,,
recycling:garden_waste,,,pub,,,,
recycling:metal,,,restaurant,,,,
start_date,,,fast_food,,,,
contact:youtube,,,pub,,,,
was:operator,,,post_box,,,,
addr:full,,,bar,,,,
kindergarten,,,post_box,,,,
healthcare:speciality,,,pub,,,,
old_name_1,,,atm,,,,
drink:beer,,,post_box,,,,
delivery:covid19,,,post_box,,,,
access:covid19,,,fast_food,,,,
drive_through:covid19,,,parking,,,,
takeaway:covid19,,,parking,,,,
school,,,parking_entrance,,,,
bic,,,parking,,,,
wikipedia,,,pub,,,,
diet:gluten_free,,,pub,,,,
payment:notes,,,fuel,,,,
door,,,pharmacy,,,,
seats,,,recycling,,,,
cinema:3D,,,pub,,,,
screen,,,recycling,,,,
old_name:2018,,,atm,,,,
contact:pinterest,,,post_box,,,,
biergarten,,,bicycle_parking,,,,
post:postcode,,,restaurant,,,,
check_date:capacity,,,fast_food,,,,
old_name:2010,,,post_office,,,,
old_name:2019,,,atm,,,,
ferry,,,post_box,,,,
public_transport,,,pub,,,,
seating,,,drinking_water,,,,
recycling:books,,,post_box,,,,
recycling:cartons,,,atm,,,,
