,,,a,b
residential,,,service,43946
track,,,footway,34391
secondary,,,residential,22154
secondary,,,secondary,6007
tertiary,,,tertiary,3776
residential,,,unclassified,2892
tertiary,,,path,2483
secondary,,,cycleway,2286
residential,,,track,1840
residential,,,steps,1362
residential,,,pedestrian,959
unclassified,,,motorway_link,466
secondary,,,trunk,451
secondary,,,motorway,329
secondary,,,corridor,326
secondary,,,secondary_link,323
secondary,,,construction,273
secondary,,,trunk_link,256
secondary,,,tertiary_link,117
unclassified,,,primary,95
secondary,,,proposed,32
secondary,,,living_street,28
tertiary,,,primary_link,19
secondary,,,busway,10
tertiary,,,bridleway,6
tertiary,,,raceway,6
tertiary,,,services,2
residential,,,disused,2
residential,,,road,1
residential,,,platform,1
residential,,,,
residential,,,,
trunk_link,,,,
trunk_link,,,,
unclassified,,,,
secondary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
unclassified,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
tertiary,,,,
unclassified,,,,
unclassified,,,,
unclassified,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
tertiary,,,,
secondary,,,,
motorway_link,,,,
secondary,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
tertiary,,,,
motorway_link,,,,
motorway_link,,,,
trunk_link,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
trunk_link,,,,
residential,,,,
trunk_link,,,,
unclassified,,,,
tertiary,,,,
tertiary,,,,
residential,,,,
unclassified,,,,
trunk_link,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
motorway_link,,,,
motorway_link,,,,
motorway_link,,,,
motorway_link,,,,
motorway_link,,,,
secondary,,,,
trunk,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
trunk,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
trunk_link,,,,
secondary,,,,
secondary,,,,
motorway,,,,
secondary,,,,
secondary,,,,
secondary,,,,
unclassified,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
residential,,,,
unclassified,,,,
tertiary,,,,
service,,,,
residential,,,,
residential,,,,
residential,,,,
secondary,,,,
motorway_link,,,,
motorway_link,,,,
motorway_link,,,,
trunk_link,,,,
trunk_link,,,,
trunk,,,,
secondary,,,,
secondary,,,,
unclassified,,,,
secondary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
residential,,,,
tertiary,,,,
secondary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
unclassified,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
tertiary,,,,
secondary,,,,
motorway,,,,
residential,,,,
tertiary,,,,
secondary,,,,
unclassified,,,,
unclassified,,,,
residential,,,,
motorway,,,,
residential,,,,
residential,,,,
trunk_link,,,,
residential,,,,
unclassified,,,,
unclassified,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
footway,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
tertiary,,,,
secondary,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
unclassified,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
secondary,,,,
residential,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
unclassified,,,,
secondary,,,,
secondary,,,,
secondary,,,,
tertiary,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
footway,,,,
tertiary,,,,
unclassified,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
footway,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
unclassified,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
secondary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
secondary,,,,
residential,,,,
residential,,,,
residential,,,,
secondary,,,,
tertiary,,,,
tertiary,,,,
tertiary,,,,
secondary,,,,
residential,,,,
residential,,,,
residential,,,,
unclassified,,,,
tertiary,,,,
secondary,,,,
secondary,,,,
secondary,,,,
unclassified,,,,
residential,,,,
residential,,,,
residential,,,,
tertiary,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
residential,,,,
